FUNCTION,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
flag.rs,34.696,0.738,48.329,15.870,false,true,src/flag.rs
"opiton_index (155, 175)",0.762,0.762,1.000,0.000,false,false,"/opiton_index (155,175)"
"construct_fail_1 (179, 181)",1.000,1.000,1.000,0.000,false,false,"/construct_fail_1 (179,181)"
"construct_fail_2 (185, 187)",1.000,1.000,1.000,0.000,false,false,"/construct_fail_2 (185,187)"
"construct_fail_3 (191, 193)",1.000,1.000,1.000,0.000,false,false,"/construct_fail_3 (191,193)"
"bool_flag_test (196, 209)",2.769,0.923,3.004,0.923,false,false,"/bool_flag_test (196,209)"
"string_flag_test (212, 226)",2.786,0.929,3.003,0.857,false,false,"/string_flag_test (212,226)"
"int_flag_test (229, 243)",2.786,0.929,3.003,0.857,false,false,"/int_flag_test (229,243)"
"float_flag_test (246, 260)",2.786,0.929,3.003,0.857,false,false,"/float_flag_test (246,260)"
"new (47, 74)",4.667,1.167,4.000,0.000,false,false,"/Flag (36,148)/new (47,74)"
"description (86, 89)",0.000,0.000,2.000,4.000,false,false,"/Flag (36,148)/description (86,89)"
"alias (105, 112)",1.500,0.750,2.012,1.143,false,false,"/Flag (36,148)/alias (105,112)"
"option_index (115, 122)",6.125,0.875,7.000,0.000,false,false,"/Flag (36,148)/option_index (115,122)"
"value (125, 147)",8.478,0.565,17.931,14.118,false,false,"/Flag (36,148)/value (125,147)"
"<anonymous> (117, 119)",3.000,1.000,3.000,0.000,false,false,"/Flag (36,148)/option_index (115,122)/<anonymous> (117,119)"
"<anonymous> (120, 120)",1.000,1.000,1.000,0.000,false,false,"/Flag (36,148)/option_index (115,122)/<anonymous> (120,120)"
"<anonymous> (118, 118)",1.000,1.000,1.000,0.000,false,false,"/Flag (36,148)/option_index (115,122)/<anonymous> (117,119)/<anonymous> (118,118)"
PROJECT,34.696,0.738,48.329,15.870,false,false,-
AVG,34.696,0.738,48.329,15.870,false,false,-
MAX,34.696,0.738,48.329,15.870,false,false,-
MIN,34.696,0.738,48.329,15.870,false,false,-
PROJECT_COVERAGE,91.560,-,-,-,-,-,-
LIST OF COMPLEX FUNCTIONS,----------,----------,----------,----------,----------,----------,----------
TOTAL COMPLEX FUNCTIONS,0,,,,,,
LIST OF IGNORED FILES,----------,----------,----------,----------,----------,----------,----------
TOTAL FILES IGNORED,0,,,,,,
